Member_number,Date,itemDescription
1808,21-07-2015,Cavin’s Cold coffee
2552,05-01-2015,Cavin’s Mango Lassi
2300,19-09-2015,Cavin's Stawberry Lassi
1187,12-12-2015,Cavin's Vanilla Milshake
3037,01-02-2015,Cavin's Buttermilk
4941,14-02-2015,Cavin's Lassi
4501,08-05-2015,Cavin's Chocolate Milkshake 
3803,23-12-2015,Cavin's Stawberry Lassi
2762,20-03-2015,Cavin's Kaju Butterscotch Milkshake
4119,12-02-2015,Bhima- Cut Mango
1340,24-02-2015,Bhima- Mixed Veg
2193,14-04-2015,Bhima- Lime
1997,21-07-2015,Bhima- Mango Thokku
4546,03-09-2015,Bhima- Red Chilli
4736,21-07-2015,Roasted Nylon Chivda
1959,30-03-2015,Khatta Meetha
1974,03-05-2015,Moong Dal
2421,02-09-2015,Manglori Mixture
1513,03-08-2015,Garden French Fries
1905,07-07-2015,Garden Instant bhel mix
2810,08-09-2015,Garden Bombay Puri
2867,12-11-2015,Garden Potato Chip
3962,18-09-2015,Ruchi- Maharastra Mango Pickle
1088,30-11-2015,Ruchi- Maharastra lime Pickle
4976,17-07-2015,Ruchi - Andhra Tomato
4056,12-06-2015,Ruchi- Brinjal
3611,13-02-2015,Ruchi- Red Chilli
1420,14-01-2015,Ruchi- Tomato Garlic
4286,08-03-2015,Ruchi- Vadu Mango
4918,27-01-2015,Chik - Long & Healthy Shampoo
4783,22-10-2015,Chik - Hairfall Prevent Shampoo
3709,26-10-2015,Chik - Thick & Glossy Shampoo
4289,08-10-2015,Chik - Anti Dandruff Shamphoo
1559,03-10-2015,Chik - Thick & Glossy Shampoo
2900,11-04-2015,Indica Easy Hair Colour
1905,21-02-2015,Indica Herbal Hair Colour
3527,29-09-2015,Indica Crème 
1495,09-01-2015,Indica Easy - Brown
3558,03-04-2015,Indica Herbal Hair Colour
3128,20-04-2015,Spinz Deo - Pristine Green
1863,04-08-2015,Spinz Deo - Blue Bounce
3841,19-07-2015,Spinz Deo - Y+B43:B61ellow Blossom
3903,06-10-2015,Spinz Deo - Mystic White
2658,16-10-2015,Spinz Deo - Enchante
4272,06-06-2015,Spinz BB Cream
1120,26-09-2015,Spinz Talc - Exotic
2676,15-08-2015,Spinz BB Talc
1697,21-05-2015,Indica Crème 
2507,25-08-2015,Ruchi- Vadu Mango
4620,11-03-2015,Nyle Damage Repair
3365,01-02-2015,Nyle Anti- Dandruff
2978,05-06-2015,Nyle Dryness Hydration
2910,28-07-2015,Nyle Volume Enhance
1061,05-09-2015,Nyle Pollution Sheild
3276,03-04-2015,Nyle Damage Repair
1326,19-06-2015,Spinz BB Cream
3023,28-07-2015,Spinz Talc - Exotic
2185,11-10-2015,Indica Easy - Brown
3552,16-06-2015,Chik - Thick & Glossy Shampoo
1967,20-01-2015,Maa Mango
4708,20-03-2015,Maa Apple
2874,15-02-2015,Maa - Mango
4177,13-04-2015,Maa Lemon
1663,07-02-2015,Maa Orange 
2632,02-03-2015,Maa Mango
1377,14-03-2015,Fremon
4162,22-12-2015,Joozy Cola
2270,01-07-2015,Runge
4829,03-11-2015,Chillout
3811,14-04-2015,Ruchi- Maharastra Mango Pickle
4766,29-09-2015,Bhima- Cut Mango
2436,12-04-2015,Cavin’s Mango Lassi
3860,05-05-2015,Cavin's Lassi
4875,12-05-2015,Chik - Anti Dandruff Shamphoo
1587,01-07-2015,Cavin's Buttermilk
4038,08-07-2015,Bhima- Cut Mango
4750,21-09-2015,Roasted Nylon Chivda
1199,10-12-2015,Moong Dal
1603,30-09-2015,Cavin's Buttermilk
3111,31-01-2015,Spinz Deo - Yellow Blossom
3894,13-12-2015,Bhima- Cut Mango
1456,18-09-2015,Bhima- Cut Mango
2022,04-03-2015,Manglori Mixture
2505,30-11-2015,Garden French Fries
4851,20-12-2015,Garden Instant bhel mix
4293,04-08-2015,Cavin's Kaju Butterscotch Milkshake
2775,06-11-2015,Bhima- Cut Mango
3693,18-02-2015,Bhima- Mixed Veg
1202,22-07-2015,Cavin's Lassi
3699,23-08-2015,Cavin's Stawberry Lassi
4152,15-04-2015,Cavin's Vanilla Milshake
4155,26-01-2015,Cavin's Buttermilk
4010,29-12-2015,Cavin's Lassi
4389,20-10-2015,Cavin's Chocolate Milkshake 
3746,17-08-2015,Cavin's Stawberry Lassi
2560,17-05-2015,Cavin's Kaju Butterscotch Milkshake
1503,25-07-2015,Bhima- Cut Mango
2555,23-12-2015,Bhima- Mixed Veg
3645,12-12-2015,Bhima- Lime
3886,11-09-2015,Bhima- Mango Thokku
2932,20-03-2015,Cocoma
1711,18-06-2015,Spinz Deo - Enchante
4291,08-12-2015,Spinz BB Cream
1143,25-04-2015,Spinz Talc - Exotic
4564,08-07-2015,Cavin's Chocolate Milkshake 
3337,14-05-2015,Cavin's Stawberry Lassi
4931,04-05-2015,Cavin's Kaju Butterscotch Milkshake
2623,10-10-2015,Bhima- Cut Mango
4581,03-04-2015,Bhima- Mixed Veg
2635,11-06-2015,Bhima- Lime
1095,30-10-2015,Bhima- Mango Thokku
2990,23-05-2015,Bhima- Red Chilli
2426,05-06-2015,Roasted Nylon Chivda
4555,07-11-2015,Khatta Meetha
3635,04-09-2015,Moong Dal
3058,18-05-2015,Manglori Mixture
4391,26-03-2015,Bhima- Mixed Veg
1306,23-06-2015,Bhima- Lime
1024,10-08-2015,Bhima- Mango Thokku
1295,23-07-2015,Bhima- Red Chilli
1661,01-06-2015,Roasted Nylon Chivda
4591,15-05-2015,Khatta Meetha
3169,14-06-2015,Moong Dal
3915,21-05-2015,Manglori Mixture
1127,14-01-2015,Garden French Fries
4828,08-08-2015,Garden Instant bhel mix
3683,10-06-2015,Garden Bombay Puri
1971,18-09-2015,Garden Potato Chip
3014,11-11-2015,Ruchi- Maharastra Mango Pickle
3779,15-09-2015,Ruchi- Maharastra lime Pickle
2489,04-05-2015,Ruchi - Andhra Tomato
3564,27-06-2015,Ruchi- Brinjal
4092,30-09-2015,Ruchi- Red Chilli
3221,13-01-2015,Ruchi- Tomato Garlic
1279,06-09-2015,Ruchi- Vadu Mango
2581,22-08-2015,Spinz Deo - Mystic White
2295,25-02-2015,Spinz Deo - Enchante
4760,22-02-2015,Spinz BB Cream
3649,16-01-2015,Spinz Talc - Exotic
1075,19-11-2015,Spinz BB Talc
3987,19-08-2015,Indica Crème 
4106,25-08-2015,Ruchi- Vadu Mango
4338,24-06-2015,Nyle Damage Repair
4166,06-11-2015,Nyle Anti- Dandruff
1211,10-03-2015,Nyle Dryness Hydration
3954,21-01-2015,Nyle Volume Enhance
3928,18-07-2015,Nyle Pollution Sheild
3827,30-09-2015,Nyle Damage Repair
4699,08-02-2015,Spinz BB Cream
4747,08-06-2015,Spinz Talc - Exotic
3028,09-06-2015,Indica Easy - Brown
2851,16-03-2015,Chik - Thick & Glossy Shampoo
4417,25-02-2015,Maa Mango
3822,07-03-2015,Maa Apple
2288,31-05-2015,Maa - Mango
2184,30-06-2015,Maa Lemon
4554,27-08-2015,Maa Orange 
3361,05-03-2015,Maa Mango
2999,17-04-2015,Fremon
2614,25-06-2015,Joozy Cola
4064,05-06-2015,Cavin’s Mango Lassi
3567,04-10-2015,Cavin's Stawberry Lassi
2587,07-05-2015,Cavin's Vanilla Milshake
3783,17-06-2015,Cavin's Buttermilk
1923,14-02-2015,Cavin's Lassi
4835,19-02-2015,Cavin's Chocolate Milkshake 
1514,24-08-2015,Cavin's Stawberry Lassi
3154,22-06-2015,Cavin's Kaju Butterscotch Milkshake
1313,25-12-2015,Bhima- Cut Mango
2794,18-07-2015,Bhima- Mixed Veg
2359,09-04-2015,Bhima- Lime
2238,09-03-2015,Bhima- Mango Thokku
3795,17-01-2015,Bhima- Red Chilli
3724,26-11-2015,Ruchi - Andhra Tomato
1152,05-03-2015,Ruchi- Brinjal
4559,16-03-2015,Ruchi- Red Chilli
3922,27-02-2015,Ruchi- Tomato Garlic
1709,22-04-2015,Ruchi- Vadu Mango
2219,17-04-2015,Ruchi- Vadu Mango
2206,17-10-2015,Nyle Damage Repair
1752,06-04-2015,Nyle Anti- Dandruff
3942,10-11-2015,Nyle Dryness Hydration
3296,17-08-2015,Nyle Volume Enhance
2257,05-02-2015,Nyle Pollution Sheild
4313,28-07-2015,Nyle Damage Repair
2001,21-08-2015,Spinz BB Cream
2449,08-07-2015,Spinz Talc - Exotic
4914,12-04-2015,Indica Easy - Brown
2764,24-07-2015,Chik - Thick & Glossy Shampoo
4187,09-05-2015,Maa Mango
1392,20-04-2015,Maa Apple
3427,28-04-2015,Maa - Mango
1411,20-02-2015,Maa Lemon
3390,14-11-2015,Maa Orange 
4787,01-08-2015,Maa Mango
3310,17-01-2015,Fremon
1782,10-10-2015,Joozy Cola
3375,26-04-2015,Runge
2760,07-01-2015,Chillout
4249,13-09-2015,Ruchi- Maharastra Mango Pickle
2904,06-06-2015,Bhima- Cut Mango
4090,26-02-2015,Cavin’s Mango Lassi
3060,05-07-2015,Cavin's Lassi
3768,07-10-2015,Cavin's Vanilla Milshake
1232,21-01-2015,Cavin's Buttermilk
1360,23-10-2015,Cavin's Lassi
1107,01-10-2015,Cavin's Chocolate Milkshake 
2865,04-11-2015,Cavin's Stawberry Lassi
2958,14-06-2015,Cavin's Kaju Butterscotch Milkshake
2448,12-07-2015,Bhima- Cut Mango
1222,24-09-2015,Bhima- Mixed Veg
2943,20-06-2015,Bhima- Lime
2270,11-08-2015,Bhima- Mango Thokku
3812,21-07-2015,Bhima- Red Chilli
1482,22-11-2015,Roasted Nylon Chivda
4720,22-02-2015,Khatta Meetha
1344,04-09-2015,Moong Dal
2397,04-10-2015,Manglori Mixture
4182,12-05-2015,Garden French Fries
4487,10-07-2015,Garden Instant bhel mix
3467,24-12-2015,Garden Bombay Puri
2443,15-11-2015,Garden Potato Chip
2749,27-01-2015,Ruchi- Maharastra Mango Pickle
4389,13-04-2015,Ruchi- Maharastra lime Pickle
1674,04-12-2015,Ruchi - Andhra Tomato
4262,16-10-2015,Ruchi- Brinjal
2082,07-04-2015,Ruchi- Red Chilli
4494,06-01-2015,Ruchi- Tomato Garlic
2460,28-09-2015,Ruchi- Vadu Mango
4509,29-11-2015,Chik - Long & Healthy Shampoo
2267,03-07-2015,Chik - Hairfall Prevent Shampoo
4891,05-09-2015,Chik - Thick & Glossy Shampoo
3962,20-09-2015,Chik - Anti Dandruff Shamphoo
4964,18-07-2015,Chik - Thick & Glossy Shampoo
2914,30-11-2015,Indica Easy Hair Colour
2808,05-05-2015,Indica Herbal Hair Colour
1085,15-08-2015,Indica Crème 
3808,18-08-2015,Indica Easy - Brown
4149,07-01-2015,Indica Herbal Hair Colour
2331,05-06-2015,Spinz Deo - Pristine Green
4475,03-04-2015,Spinz Deo - Blue Bounce
2761,25-04-2015,Spinz Deo - Y+B43:B61ellow Blossom
2620,14-12-2015,Spinz Deo - Mystic White
3206,13-10-2015,Spinz Deo - Enchante
